"Feature ID","Area","Feature","User Story","Expected Behavior Based On Current Code","Code Evidence","Frontend Evidence","API Evidence","Existing Test Evidence","Implementation Status","Story Test Status","Errors Found","Next Test Action","Last Updated"
"AUTH-005","Authentication","Guest access denial","As a guest, I should be blocked from protected MVP data so private app data is not exposed.","Protected endpoints require current user; frontend lists, places, and profile show sign-in prompts when unauthenticated.","backend/app/modules/auth/dependencies.py","frontend/src/features/places/PlaceLibraryPage.tsx; frontend/src/features/profile/ProfileArchivePage.tsx","Protected /lists, /places, /profile, /ratings endpoints","backend/tests/api/test_places_and_lists.py::test_places_require_authentication; frontend/tests/e2e/auth-gating.spec.ts","Implemented","Existing automated test present","None recorded","Expand story loop to every protected route","2026-06-23"
"AUTH-006","Authentication","Auth rate limiting","As the system, I want auth endpoints rate-limited so repeated credential attempts are constrained.","Auth routes depend on enforce_auth_rate_limit and return 429 when the request limit is exceeded.","backend/app/core/rate_limit.py; backend/app/api/auth.py","N/A","POST /auth/register, /auth/login, /auth/refresh, /auth/logout","backend/tests/api/test_auth.py::test_auth_rate_limit_returns_429","Implemented","Existing automated test present","None recorded","Verify production Redis-backed behavior separately","2026-06-23"
"LIST-001","Lists","View own lists","As a user, I want to see my lists with counts so that I can choose a collection quickly.","GET /lists returns only current user's lists in collection envelope with placeCount and created_at_desc sorting.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/app/lists/page.tsx; frontend/src/components/ui/ListCard.tsx","GET /api/v1/lists","backend/tests/api/test_places_and_lists.py::test_lists_collection_uses_envelope_and_summary_counts","Implemented","Existing automated test present","None recorded","Run browser story for empty and populated lists","2026-06-23"
"LIST-002","Lists","Create list","As a user, I want to create a named list with visibility so that I can organize places.","POST /lists creates a user-owned list; duplicate names are allowed; name and visibility validation apply.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/src/features/lists/CreateListDialog.tsx; frontend/app/lists/new/page.tsx","POST /api/v1/lists","backend/tests/api/test_places_and_lists.py::test_create_list_and_add_place_to_list","Implemented","Existing automated test present","None recorded","Run browser story for create private/public and validation","2026-06-23"
"LIST-003","Lists","Edit list name","As a list owner, I want to rename a list so that my collection label stays accurate.","PATCH /lists/{id} updates only owned list name; other users receive not found.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/src/features/lists/EditListDialog.tsx","PATCH /api/v1/lists/{id}","backend/tests/api/test_places_and_lists.py::test_users_cannot_access_other_users_lists; frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow","Implemented","Existing automated test present","None recorded","Add separate validation-error story later if needed","2026-06-23"
"LIST-004","Lists","Change list visibility","As a list owner, I want to switch a list between private and public so that I control who can view it.","PATCH /lists/{id}/visibility updates owned list visibility to public or private only.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/src/features/lists/EditListDialog.tsx; frontend/src/features/lists/VisibilitySelector.tsx","PATCH /api/v1/lists/{id}/visibility","backend/tests/api/test_sprint2.py::test_public_private_list_visibility_and_guest_denial","Implemented","Existing automated test present","None recorded","Run browser story for visibility switch","2026-06-23"
"LIST-005","Lists","Delete list","As a list owner, I want to delete a list after confirmation so that obsolete collections are removed.","DELETE /lists/{id} deletes only owned list; frontend uses confirmation dialog.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/src/features/lists/DeleteListDialog.tsx","DELETE /api/v1/lists/{id}","frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow","Implemented","Existing automated test present","None recorded","Add cancel-confirmation story later if needed","2026-06-23"
"LIST-006","Lists","View own list detail","As a user, I want to open a list and see its places so that I can browse the collection.","GET /lists/{id} returns owned list detail with items and place summaries; other users cannot access it.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/app/lists/[id]/page.tsx","GET /api/v1/lists/{id}","backend/tests/api/test_places_and_lists.py::test_users_cannot_access_other_users_lists; frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow","Implemented","Existing automated test present","None recorded","Add explicit populated/empty screenshot review in visual loop if needed","2026-06-23"
"LIST-007","Lists","Add place to list","As a user, I want to add one place to a list so that I can save it in a collection.","POST /lists/{id}/items adds a place to one owned list; duplicate membership returns 200 idempotent success without a duplicate row.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/src/features/lists/AddPlaceDialog.tsx","POST /api/v1/lists/{id}/items","backend/tests/api/test_places_and_lists.py::test_create_list_and_add_place_to_list; test_duplicate_list_item_returns_idempotent_success; frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow","Implemented","Existing automated test present","Closed UX issue: Escape did not consistently close Add Place bottom sheet after an add because dialog key handling depended on local bubbling only; document-level Escape handling was added.","Retest duplicate add UX separately if needed","2026-06-23"
"LIST-008","Lists","Remove place from list","As a user, I want to remove a place from a list without deleting the place globally.","DELETE /lists/{id}/items/{place_id} removes membership only and returns success.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/app/lists/[id]/page.tsx","DELETE /api/v1/lists/{id}/items/{place_id}","backend/tests/api/test_places_and_lists.py::test_delete_place_from_list; frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow","Implemented","Existing automated test present","None recorded","Include in full E2E regression loop","2026-06-23"
"LIST-009","Public Lists","Browse public lists","As an authenticated user, I want to browse public lists so that I can view shared collections.","GET /lists/public requires auth and returns public lists in envelope; guests are denied.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/src/features/lists/PublicListsPage.tsx","GET /api/v1/lists/public","backend/tests/api/test_sprint2.py::test_public_private_list_visibility_and_guest_denial","Implemented","Existing automated test present","None recorded","Run browser story for public list browse","2026-06-23"
"LIST-010","Public Lists","View public list detail","As an authenticated user, I want to open a public list in read-only mode.","GET /lists/public/{id} returns public list detail with current-user place context; private lists are not returned.","backend/app/api/lists.py; backend/app/modules/lists/services.py","frontend/src/features/lists/PublicListDetailPage.tsx","GET /api/v1/lists/public/{id}","backend/tests/api/test_sprint2.py::test_public_private_list_visibility_and_guest_denial","Implemented","Existing automated test present","None recorded","Run browser story for public detail and private denial","2026-06-23"
"PLACE-001","Places","Browse places by primary type","As a user, I want to browse restaurants, cafes, and ice cream places from one Places screen so that I can find a saved catalog item.","GET /places accepts type restaurant, cafe, ice_cream; frontend presents internal filters under الأماكن.","backend/app/api/places.py; backend/app/modules/places/services.py","frontend/src/features/places/PlaceLibraryPage.tsx","GET /api/v1/places?type=","backend/tests/api/test_places_and_lists.py::test_place_taxonomy_validation_and_filtering; frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"PLACE-002","Places","Filter places by subtype","As a user, I want contextual subtype filtering so that restaurant and cafe lists can be narrowed without showing many chips.","Restaurant and cafe subtype filters are validated server-side; ice cream hides subtype filtering; incompatible filters return 422.","backend/app/api/places.py; backend/app/modules/places/schemas.py","frontend/src/features/places/PlaceLibraryPage.tsx; frontend/src/features/places/taxonomy.ts","GET /api/v1/places?type=&subtype=","backend/tests/api/test_places_and_lists.py::test_place_taxonomy_validation_and_filtering; frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"PLACE-003","Places","Search places by name","As a user, I want to search by place name so that I can find a known place quickly.","GET /places accepts q up to 120 chars and searches normalized place name only; frontend preserves type/subtype while searching.","backend/app/api/places.py; backend/app/modules/places/services.py","frontend/src/features/places/PlaceLibraryPage.tsx","GET /api/v1/places?q=","backend/tests/api/test_places_and_lists.py::test_places_search_by_name_only; frontend/tests/e2e/sprint3-real.spec.ts","Implemented","Existing automated test present","None recorded","Expand story loop to subtype+search combinations","2026-06-23"
"PLACE-004","Places","Rating-first sorting","As a user, I want places sorted by community rating so highly rated places appear first.","GET /places sorts rated places by average rating desc, rating count desc, normalized name asc, and unrated last.","backend/app/modules/places/services.py","frontend/src/features/places/PlaceLibraryPage.tsx","GET /api/v1/places?sort=rating_desc","backend/tests/api/test_places_and_lists.py::test_places_default_sorting_uses_rating_count_name_and_unrated_last; frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"PLACE-005","Places","Paginated place listing","As a user, I want place lists to be bounded so large catalogs do not overload the client.","GET /places accepts limit 1-100 and offset 0+ and returns collection meta.","backend/app/api/places.py; backend/app/core/schemas.py","frontend/src/lib/api.ts","GET /api/v1/places?limit=&offset=","backend/tests/api/test_places_and_lists.py::test_places_listing_is_bounded_and_offset_paginated","Implemented","Existing automated test present","None recorded","Verify frontend pagination decision; current UI appears single-page bounded","2026-06-23"
"PLACE-006","Places","Create place","As a user, I want to create a place with the approved taxonomy so it can be reused in lists and ratings.","POST /places creates globally unique normalized place names; restaurant/cafe subtype required; ice cream subtype omitted.","backend/app/api/places.py; backend/app/modules/places/schemas.py; backend/app/modules/places/services.py","frontend/src/features/places/CreatePlaceDialog.tsx; frontend/app/places/new/page.tsx","POST /api/v1/places","backend/tests/api/test_places_and_lists.py::test_create_place_and_reject_duplicate_name; test_place_taxonomy_validation_and_filtering; frontend/tests/e2e/sprint3-real.spec.ts","Implemented","Existing automated test present","None recorded","Expand browser story to restaurant subtype, cafe subtype, and duplicate handling","2026-06-23"
"PLACE-007","Places","Duplicate place protection","As a user, I should not accidentally create duplicate catalog records with the same normalized name.","Normalized name is stored and unique; concurrent duplicate creation returns one success and one conflict.","backend/app/modules/places/models.py; backend/app/modules/places/services.py","frontend/src/features/places/CreatePlaceDialog.tsx","POST /api/v1/places","backend/tests/api/test_places_and_lists.py::test_create_place_and_reject_duplicate_name; test_concurrent_normalized_duplicate_place_creation; backend/tests/integration/test_db_constraints.py::test_normalized_name_uniqueness_is_enforced_by_database","Implemented","Existing automated test present","None recorded","Run browser duplicate error story","2026-06-23"
"PLACE-008","Places","Open place detail","As a user, I want to open a place row to see details and actions.","GET /places/{id} returns place detail with community rating, current user rating, tried status, and list context.","backend/app/api/places.py; backend/app/modules/places/services.py","frontend/src/features/places/PlaceDetailPage.tsx; frontend/src/components/ui/PlaceCard.tsx","GET /api/v1/places/{id}","frontend/tests/e2e/sprint3-real.spec.ts","Implemented","Existing automated test present","Closed logistical issue: row click story initially failed because E2E clicked broad text and was affected by stale debug servers; locator now clicks the semantic place link and full suite passes from clean ports.","Add focused row tap/keyboard test for compact Places rows","2026-06-23"
"PLACE-009","Places UX","Compact place rows","As a mobile user, I want place rows to be compact and balanced so I can scan without browser zoom.","PlaceCard row uses RTL three-column composition with artwork, text, and optional rating; no arrow affordance; long names clamp to two lines.","frontend/src/components/ui/PlaceCard.tsx; frontend/app/globals.css","frontend/src/features/places/PlaceLibraryPage.tsx","N/A","frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"PLACE-010","Places UX","Deterministic generated artwork","As a user, I want visual variety without fake photos so places are easier to distinguish.","VisualArtwork generates stable abstract artwork from type, id, and label with deterministic palettes and initial glyph.","frontend/src/components/ui/VisualArtwork.tsx","Used by PlaceCard and list cards","N/A","frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"RATING-001","Ratings","Create or upsert rating","As a user, I want to rate a place so it becomes part of my tried archive.","POST /ratings creates or updates one rating per user/place and returns rating response.","backend/app/api/ratings.py; backend/app/modules/ratings/services.py","frontend/src/features/places/RatePlaceDialog.tsx","POST /api/v1/ratings","backend/tests/api/test_sprint2.py::test_rating_creates_tried_status_and_removes_place_from_all_user_lists; test_rating_upsert_and_patch_update_existing_rating; frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow","Implemented","Existing automated test present","None recorded","Add explicit rating-update browser story later if needed","2026-06-23"
"RATING-002","Ratings","Update rating","As a user, I want to edit my rating for a place so my opinion can change.","PATCH /ratings/{place_id} updates an existing rating owned by the current user.","backend/app/api/ratings.py; backend/app/modules/ratings/services.py","frontend/src/features/places/RatePlaceDialog.tsx","PATCH /api/v1/ratings/{place_id}","backend/tests/api/test_sprint2.py::test_rating_upsert_and_patch_update_existing_rating","Implemented","Existing automated test present","None recorded","Run browser rating edit story","2026-06-23"
"RATING-003","Ratings","Half-step rating validation","As a user, I want to rate in half-point increments so the 10-point rating feels precise.","Rating accepts values 1 through 10 in 0.5 increments and rejects out-of-range or non-half-step values.","backend/app/modules/ratings/schemas.py; backend/app/modules/ratings/models.py","frontend/src/components/ui/RatingControl.tsx","POST/PATCH /api/v1/ratings","backend/tests/api/test_sprint2.py::test_rating_validation_rejects_out_of_range_values; test_rating_validation_rejects_non_half_step_values; backend/tests/integration/test_db_constraints.py::test_rating_half_step_check_is_enforced_by_database","Implemented","Existing automated test present","None recorded","Run browser story for 8.5/10 keyboard and pointer","2026-06-23"
"RATING-004","Ratings","Private notes","As a user, I want rating notes to remain private so only I can see them.","Rating notes are stored with the rating and only returned in current user's own rating/profile surfaces; another user's notes are not exposed.","backend/app/modules/ratings/services.py; backend/app/modules/places/services.py; backend/app/modules/profile/services.py","frontend/src/features/places/RatePlaceDialog.tsx; frontend/src/features/profile/ProfileArchivePage.tsx","Ratings and profile endpoints","backend/tests/api/test_sprint2.py::test_notes_privacy_and_community_rating_aggregates","Implemented","Existing automated test present","None recorded","Run browser/private API story with two users","2026-06-23"
"RATING-005","Tried Places","Tried derived from rating","As a user, I want rated places to appear as tried without managing a separate tried status.","Tried status is derived from rating existence; first rating removes the place from all owned lists; tried place can later be re-added without duplicate rating.","backend/app/modules/ratings/services.py; backend/app/modules/places/services.py; backend/app/modules/lists/services.py","frontend/src/features/places/PlaceDetailPage.tsx; frontend/src/features/profile/ProfileArchivePage.tsx","POST /ratings; GET /places; GET /profile","backend/tests/api/test_sprint2.py::test_rating_creates_tried_status_and_removes_place_from_all_user_lists; test_tried_place_can_be_readded_without_creating_second_rating","Implemented","Existing automated test present","None recorded","Run browser story: list add, rate, auto-remove, re-add","2026-06-23"
"RATING-006","Community Ratings","Community aggregates","As a user, I want to see community average and count so I can understand broad sentiment.","Place summaries calculate averageRating and ratingCount from ratings table without cache.","backend/app/modules/places/services.py","frontend/src/components/ui/PlaceCard.tsx; frontend/src/features/places/PlaceDetailPage.tsx","GET /places; GET /places/{id}","backend/tests/api/test_sprint2.py::test_notes_privacy_and_community_rating_aggregates","Implemented","Existing automated test present","None recorded","Verify decimal rendering and count labels in browser","2026-06-23"
"PROFILE-001","Profile","Profile summary","As a user, I want a profile summary so I can see my archive totals.","GET /profile returns list count, tried restaurant/cafe/ice cream counts, ratings created count, user ratings, and tried places.","backend/app/api/profile.py; backend/app/modules/profile/services.py","frontend/src/features/profile/ProfileArchivePage.tsx","GET /api/v1/profile","backend/tests/api/test_sprint2.py::test_profile_statistics_are_calculated_from_user_data; test_profile_counts_ice_cream_places","Implemented","Existing automated test present","None recorded","Run browser profile populated and empty stories","2026-06-23"
"PROFILE-002","Profile","Ratings archive","As a user, I want to scan my ratings and notes from profile so that my personal history is useful.","Profile page renders userRatings as compact archive entries with place, rating, and note preview where present.","frontend/src/features/profile/ProfileArchivePage.tsx","frontend/app/profile/page.tsx","GET /api/v1/profile","frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow","Implemented","Existing automated test present","None recorded","Include in full E2E regression loop","2026-06-23"
"UI-001","Accessibility","Dialog and bottom sheet accessibility","As a keyboard or screen reader user, I want modals and sheets to trap focus and restore focus when closed.","Modal and BottomSheet set dialog semantics, focus first control, close on Escape, and restore focus to opener.","frontend/src/components/ui/Dialog.tsx","CreateListDialog, EditListDialog, DeleteListDialog, CreatePlaceDialog, AddPlaceDialog, RatePlaceDialog","N/A","frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow","Implemented","Existing automated test present","Closed UX/accessibility issue: Escape did not consistently close Add Place bottom sheet after asynchronous content updates; added document-level Escape handling while dialogs are open.","Add deeper focus-trap Tab-cycle test later if needed","2026-06-23"
"UI-002","Accessibility","Action menu accessibility","As a keyboard user, I want contextual actions to be accessible without relying on pointer-only controls.","ActionMenu exposes menu button, menuitem buttons, Escape handling, and closes after action.","frontend/src/components/ui/ActionMenu.tsx","List and item overflow menus","N/A","frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow","Implemented","Existing automated test present","None recorded","Add pure keyboard-only menu story later if needed","2026-06-23"
"UI-003","RTL and bidi","Mixed Arabic/English content","As an Arabic user, I want Arabic, English, and mixed place names to render without broken ordering or clipping.","BidiText and NumberText isolate text and numbers; CSS uses logical inline properties in active pages.","frontend/src/components/ui/BidiText.tsx; frontend/src/components/ui/NumberText.tsx; frontend/app/globals.css","PlaceCard, ListCard, detail/profile surfaces","N/A","frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"UI-004","Numerals","Western numeral display","As a user, I want numbers displayed consistently as 0-9 so ratings and counts are readable.","Numeral helpers convert Arabic-Indic digits to Western digits and rating formats use period decimals.","frontend/src/lib/numerals.ts; frontend/src/lib/format.ts","NumberText, RatingControl, PlaceCard, ProfileArchivePage","N/A","frontend/tests/e2e/sprint3-real.spec.ts::real frontend and api complete list edit add remove delete and profile flow; frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"UI-005","States","Empty, loading, and error states","As a user, I want concise feedback for loading, empty, and error states so I know what to do next.","Components render EmptyState, LoadingState, StatusMessage, and Toast; feature pages use them for lists, places, profile, and forms.","frontend/src/components/ui/EmptyState.tsx; LoadingState.tsx; StatusMessage.tsx; Toast.tsx","All feature pages","API errors via frontend/src/lib/api.ts","frontend/tests/e2e/auth-gating.spec.ts; frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"SEC-001","Security","Security headers and CSP","As a user, I want baseline browser protections so the app reduces common web risks.","Next config sends CSP, X-Frame-Options, nosniff, Referrer-Policy, Permissions-Policy, and HSTS.","frontend/next.config.ts","All frontend routes","N/A","frontend/tests/e2e/sprint3-real.spec.ts::technical shell stories expose manifest headers and legacy redirects","Implemented","Existing automated test present","None recorded","Include in full E2E regression loop","2026-06-23"
"SEC-002","Security","Production secret safety","As an operator, I want production startup to reject unsafe default JWT secrets.","Settings validation rejects production with default JWT secrets and normalizes database URLs.","backend/app/core/config.py","N/A","App startup/config","backend/tests/unit/test_config.py","Implemented","Existing automated test present","None recorded","Include config tests in full regression loop","2026-06-23"
"DB-001","Database","Database constraints","As the system, I want database constraints to enforce core invariants even under race conditions.","DB models enforce rating uniqueness and half-step check, normalized place name uniqueness, cascades/restrictions, list item uniqueness, and subtype/type checks.","backend/app/modules/*/models.py; backend/migrations/versions","N/A","Database schema","backend/tests/integration/test_db_constraints.py; backend/tests/integration/test_postgresql_validation.py","Implemented","Existing automated test present","None recorded","Run PostgreSQL-backed path when database URL is configured","2026-06-23"
"API-001","API Platform","Versioned API prefix","As a frontend client, I want a stable versioned API prefix so requests do not depend on unversioned endpoints.","Frontend API client prepends /api/v1 to application API paths and backend mounts API routers under /api/v1.","backend/app/main.py","frontend/src/lib/api.ts","/api/v1/*","frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"API-002","API Platform","Collection envelopes","As a client, I want collection responses to include data and meta so pagination and sorting are explicit.","Collection endpoints return {data, meta:{limit, offset, total, sort}} for lists, public lists, and places.","backend/app/core/schemas.py; backend/app/api/lists.py; backend/app/api/places.py","frontend/src/lib/api.ts","GET collection endpoints","backend/tests/api/test_places_and_lists.py::test_lists_collection_uses_envelope_and_summary_counts; test_places_listing_is_bounded_and_offset_paginated","Implemented","Existing automated test present","None recorded","Verify public lists and frontend consumers in story loop","2026-06-23"
"API-003","API Platform","Client error extraction","As a user, I want API errors surfaced as readable messages so I can recover from failed actions.","Frontend ApiError extracts message from structured detail and feature dialogs render error messages through form/status components.","frontend/src/lib/api.ts","CreateListDialog, EditListDialog, CreatePlaceDialog, RatePlaceDialog","All API endpoints via frontend client","frontend/tests/e2e/sprint3-real.spec.ts::real places library covers subtype filters sorting layout bidi and errors","Implemented","Existing automated test present","None recorded","Include in full story regression loop","2026-06-23"
"ROUTE-001","Routing","Restaurant and cafe legacy redirects","As a user with old links, I want /restaurants and /cafes to land in the canonical Places screen.","/restaurants redirects to /places?type=restaurant and /cafes redirects to /places?type=cafe.","frontend/app/restaurants/page.tsx; frontend/app/cafes/page.tsx","Next.js routes","N/A","frontend/tests/e2e/sprint3-real.spec.ts::technical shell stories expose manifest headers and legacy redirects","Implemented","Existing automated test present","None recorded","Include in full E2E regression loop","2026-06-23"
